Time		    CASE	den	een	dex	eex	dut_led	exp_led
[3015000]		PASS:	0	0	0	0	1111	1111
[3025000]		PASS:	1	1	0	0	1111	1111
[3035000]		PASS:	0	0	0	0	1111	1111
[3045000]		PASS:	0	0	0	0	1111	1111
[3055000]		PASS:	0	0	0	0	1111	1111
[3065000]		PASS:	0	0	0	0	1111	1111
[3075000]		PASS:	0	0	0	0	1111	1111
[3085000]		PASS:	0	0	0	0	1111	1111
[3095000]		PASS:	0	0	0	0	1111	1111
[3105000]		PASS:	0	0	0	0	1111	1111
[3115000]		PASS:	0	0	0	0	1111	1111
[3125000]		PASS:	0	0	0	0	1111	1111
[3135000]		PASS:	0	0	0	0	1111	1111
[3145000]		PASS:	0	0	0	0	1111	1111
[3155000]		PASS:	0	0	0	0	1111	1111
[3165000]		PASS:	0	0	0	0	1111	1111
[3175000]		PASS:	0	0	0	0	1111	1111
[3185000]		PASS:	0	0	0	0	1111	1111
[3195000]		PASS:	0	0	0	0	1111	1111
[3205000]		PASS:	1	1	0	0	1111	1111
[3215000]		PASS:	0	0	0	0	1111	1111
[3225000]		PASS:	0	0	0	0	1111	1111
[3235000]		PASS:	0	0	0	0	1111	1111
[3245000]		PASS:	0	0	0	0	1111	1111
[3255000]		PASS:	0	0	0	0	1111	1111
[3265000]		PASS:	0	0	0	0	1111	1111
[3275000]		PASS:	0	0	0	0	1111	1111
[3285000]		PASS:	0	0	0	0	1111	1111
[3295000]		PASS:	0	0	0	0	1111	1111
[3305000]		PASS:	0	0	0	0	1111	1111
[3315000]		PASS:	0	0	0	0	1111	1111
[3325000]		PASS:	0	0	0	0	1111	1111
[3335000]		PASS:	0	0	0	0	1111	1111
[3345000]		PASS:	0	0	0	0	1111	1111
[3355000]		PASS:	0	0	0	0	1111	1111
[3365000]		PASS:	0	0	0	0	1111	1111
[3375000]		PASS:	0	0	0	0	1111	1111
[3385000]		PASS:	1	1	0	0	1111	1111
[3395000]		PASS:	0	0	0	0	1111	1111
[3405000]		PASS:	0	0	0	0	1111	1111
[3415000]		PASS:	0	0	0	0	1111	1111
[3425000]		PASS:	0	0	0	0	1111	1111
[3435000]		PASS:	0	0	0	0	1111	1111
[3445000]		PASS:	0	0	0	0	1111	1111
[3455000]		PASS:	0	0	0	0	1111	1111
[3465000]		PASS:	0	0	0	0	1111	1111
[3475000]		PASS:	0	0	0	0	1111	1111
[3485000]		PASS:	0	0	0	0	1111	1111
[3495000]		PASS:	0	0	0	0	1111	1111
[3505000]		PASS:	0	0	0	0	1111	1111
